seed,n,patch,coupling,severity,scope,scope_size,solver,solution,cost,gap,evals,runtime_s,p_opt,depth,shots,amp_ops,boundary_ratio,noise_lambda,scope_recall
5,16,4,0.55,0.65,inferred-noise,4,QAOA,46487,2.147112072191585,0.0,89,0.0015698750503361225,0.45533779863869533,1,256,5696,0.1319714131207098,0.1,0.75
5,16,4,0.55,0.65,inferred-noise,4,QAOA,46487,2.147112072191585,0.0,89,0.0015902080340310931,0.38986483219891277,1,256,5696,0.1319714131207098,0.25,0.75
5,16,4,0.55,0.65,inferred-noise,4,QAOA,46487,2.147112072191585,0.0,89,0.0015707080019637942,0.2807432214659419,1,256,5696,0.1319714131207098,0.5,0.75
6,16,4,0.55,0.65,full,16,deployed,53689,4.539329735037708,0.34969042426567243,0,0.0,,0,0,0,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,full,16,exact enumeration,33366,3.104148355391569,0.0,65536,0.0,,0,0,68719476736,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,full,16,MILP,33366,3.104148355391569,0.0,0,0.012569958926178515,,0,0,0,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,full,16,annealing,53689,4.539329735037708,0.34969042426567243,89,8.187501225620508e-05,,0,0,93323264,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,full,16,QAOA,35414,3.1204811282417824,0.00397957662245743,89,0.22743841691408306,0.0014700398361416791,1,256,93323264,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,true,4,exact LNS,53689,4.539329735037708,0.34969042426567243,16,1.4579854905605316e-06,,0,0,1024,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,true,4,annealing,53689,4.539329735037708,0.34969042426567243,89,7.574993651360273e-05,,0,0,5696,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,true,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0016553750028833747,0.3020237823420027,1,256,5696,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,inferred,4,exact LNS,53689,4.539329735037708,0.34969042426567243,16,9.160721674561501e-07,,0,0,1024,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,inferred,4,annealing,53689,4.539329735037708,0.34969042426567243,89,7.15409405529499e-05,,0,0,5696,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,inferred,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0016222079284489155,0.3020237823420027,1,256,5696,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,wrong,4,exact LNS,53689,4.539329735037708,0.34969042426567243,16,8.749775588512421e-07,,0,0,1024,0.17245502701185894,0.0,0.5
6,16,4,0.55,0.65,wrong,4,annealing,53689,4.539329735037708,0.34969042426567243,89,7.141695823520422e-05,,0,0,5696,0.17245502701185894,0.0,0.5
6,16,4,0.55,0.65,wrong,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0016175409546121955,0.37071343466952683,1,256,5696,0.17245502701185894,0.0,0.5
6,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0016353749670088291,0.3020237823420027,1,64,5696,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0026340839685872197,0.3103056674734984,2,64,5696,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0026009170105680823,0.3103056674734984,2,256,5696,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0026310000102967024,0.3103056674734984,2,1024,5696,0.17245502701185894,0.0,1.0
6,16,4,0.55,0.65,inferred-noise,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0016294160159304738,0.27807140410780246,1,256,5696,0.17245502701185894,0.1,1.0
6,16,4,0.55,0.65,inferred-noise,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.0015037909615784883,0.24214283675650206,1,256,5696,0.17245502701185894,0.25,1.0
6,16,4,0.55,0.65,inferred-noise,4,QAOA,53689,4.539329735037708,0.34969042426567243,89,0.00155608297791332,0.18226189117100136,1,256,5696,0.17245502701185894,0.5,1.0
7,16,4,0.55,0.65,full,16,deployed,42630,1.515638258622896,0.02859692210883471,0,0.0,,0,0,0,0.33958239437773424,0.0,1.0
7,16,4,0.55,0.65,full,16,exact enumeration,3754,1.4456988005226785,0.0,65536,0.0,,0,0,68719476736,0.33958239437773424,0.0,1.0
7,16,4,0.55,0.65,full,16,MILP,3754,1.4456988005226785,0.0,0,0.010896207997575402,,0,0,0,0.33958239437773424,0.0,1.0
7,16,4,0.55,0.65,full,16,annealing,3754,1.4456988005226785,0.0,89,8.099991828203201e-05,,0,0,93323264,0.33958239437773424,0.0,1.0
7,16,4,0.55,0.65,full,16,QAOA,3758,1.5045658669662245,0.024069630500274736,89,0.22452775004785508,0.0019594646047887774,1,256,93323264,0.33958239437773424,0.0,1.0
7,16,4,0.55,0.65,true,4,exact LNS,42630,1.515638258622896,0.02859692210883471,16,1.2080417945981026e-06,,0,0,1024,0.33958239437773424,0.0,1.0
7,16,4,0.55,0.65,true,4,annealing,42630,1.515638258622896,0.02859692210883471,89,7.545901462435722e-05,,0,0,5696,0.33958239437773424,0.0,1.0
7,16,4,0.55,0.65,true,4,QAOA,42630,1.515638258622896,0.02859692210883471,89,0.001612040912732482,0.5671858050872407,1,256,5696,0.33958239437773424,0.0,1.0
7,16,4,0.55,0.65,inferred,4,exact LNS,42630,1.515638258622896,0.02859692210883471,16,9.59029421210289e-07,,0,0,1024,0.33958239437773424,0.0,0.75
7,16,4,0.55,0.65,inferred,4,annealing,42630,1.515638258622896,0.02859692210883471,89,7.187505252659321e-05,,0,0,5696,0.33958239437773424,0.0,0.75
7,16,4,0.55,0.65,inferred,4,QAOA,42630,1.515638258622896,0.02859692210883471,89,0.0015849589835852385,0.5944229323440291,1,256,5696,0.33958239437773424,0.0,0.75
7,16,4,0.55,0.65,wrong,4,exact LNS,42630,1.515638258622896,0.02859692210883471,16,8.749775588512421e-07,,0,0,1024,0.33958239437773424,0.0,0.5
7,16,4,0.55,0.65,wrong,4,annealing,42630,1.515638258622896,0.02859692210883471,89,7.137504871934652e-05,,0,0,5696,0.33958239437773424,0.0,0.5
7,16,4,0.55,0.65,wrong,4,QAOA,42630,1.515638258622896,0.02859692210883471,89,0.0015913329552859068,0.5739115844365646,1,256,5696,0.33958239437773424,0.0,0.5
