n,seed,event,changed,scope,scope_fraction,runtime_ms,edges
10000,6,8,10,65,0.0065,0.003083,29989
10000,6,9,10,61,0.0061,0.003042,29989
10000,7,0,10,78,0.0078,0.005584,29981
10000,7,1,10,66,0.0066,0.003958,29981
10000,7,2,10,76,0.0076,0.003583,29981
10000,7,3,10,79,0.0079,0.004,29981
10000,7,4,10,73,0.0073,0.003625,29981
10000,7,5,10,75,0.0075,0.0035,29981
10000,7,6,10,63,0.0063,0.003209,29981
10000,7,7,10,60,0.006,0.003042,29981
10000,7,8,10,75,0.0075,0.003375,29981
10000,7,9,10,72,0.0072,0.00325,29981
10000,8,0,10,71,0.0071,0.005417,29985
10000,8,1,10,65,0.0065,0.003667,29985
10000,8,2,10,67,0.0067,0.003375,29985
10000,8,3,10,69,0.0069,0.003208,29985
10000,8,4,10,68,0.0068,0.003291,29985
10000,8,5,10,69,0.0069,0.004541,29985
10000,8,6,10,67,0.0067,0.003958,29985
10000,8,7,10,66,0.0066,0.003458,29985
10000,8,8,10,71,0.0071,0.003291,29985
10000,8,9,10,71,0.0071,0.003375,29985
10000,9,0,10,66,0.0066,0.004125,29994
10000,9,1,10,62,0.0062,0.003708,29994
10000,9,2,10,77,0.0077,0.004167,29994
10000,9,3,10,65,0.0065,0.00375,29994
10000,9,4,10,73,0.0073,0.003125,29994
10000,9,5,10,67,0.0067,0.003333,29994
10000,9,6,10,78,0.0078,0.003917,29994
10000,9,7,10,73,0.0073,0.003625,29994
10000,9,8,10,69,0.0069,0.003291,29994
10000,9,9,10,66,0.0066,0.003458,29994
10000,10,0,10,61,0.0061,0.00425,29989
10000,10,1,10,69,0.0069,0.00375,29989
10000,10,2,10,67,0.0067,0.003333,29989
10000,10,3,10,75,0.0075,0.0035,29989
10000,10,4,10,77,0.0077,0.003875,29989
10000,10,5,10,70,0.007,0.003834,29989
10000,10,6,10,65,0.0065,0.00325,29989
10000,10,7,10,67,0.0067,0.00325,29989
10000,10,8,10,62,0.0062,0.003,29989
10000,10,9,10,69,0.0069,0.003125,29989
10000,11,0,10,75,0.0075,0.003959,29992
10000,11,1,10,70,0.007,0.003875,29992
10000,11,2,10,75,0.0075,0.0035,29992
10000,11,3,10,71,0.0071,0.003167,29992
10000,11,4,10,64,0.0064,0.00325,29992
10000,11,5,10,71,0.0071,0.003208,29992
10000,11,6,10,72,0.0072,0.003292,29992
10000,11,7,10,67,0.0067,0.003208,29992
10000,11,8,10,62,0.0062,0.002958,29992
10000,11,9,10,67,0.0067,0.003125,29992
10000,12,0,10,70,0.007,0.005,29993
10000,12,1,10,69,0.0069,0.003667,29993
10000,12,2,10,74,0.0074,0.003375,29993
10000,12,3,10,67,0.0067,0.003291,29993
10000,12,4,10,67,0.0067,0.00325,29993
10000,12,5,10,77,0.0077,0.00675,29993
10000,12,6,10,78,0.0078,0.004166,29993
10000,12,7,10,68,0.0068,0.003584,29993
10000,12,8,10,70,0.007,0.00325,29993
10000,12,9,10,70,0.007,0.003167,29993
10000,13,0,10,67,0.0067,0.009208,29990
10000,13,1,10,63,0.0063,0.004166,29990
10000,13,2,10,66,0.0066,0.003875,29990
10000,13,3,10,79,0.0079,0.00475,29990
10000,13,4,10,75,0.0075,0.004458,29990
10000,13,5,10,70,0.007,0.004042,29990
10000,13,6,10,68,0.0068,0.003958,29990
10000,13,7,10,68,0.0068,0.003583,29990
10000,13,8,10,66,0.0066,0.003583,29990
10000,13,9,10,72,0.0072,0.003708,29990
10000,14,0,10,66,0.0066,0.00775,29994
10000,14,1,10,68,0.0068,0.004167,29994
10000,14,2,10,77,0.0077,0.004875,29994
10000,14,3,10,74,0.0074,0.003917,29994
10000,14,4,10,66,0.0066,0.0035,29994
10000,14,5,10,69,0.0069,0.003792,29994
10000,14,6,10,75,0.0075,0.003375,29994
10000,14,7,10,76,0.0076,0.003417,29994
10000,14,8,10,70,0.007,0.003542,29994
10000,14,9,10,64,0.0064,0.003459,29994
10000,15,0,10,66,0.0066,0.005959,29988
10000,15,1,10,66,0.0066,0.003708,29988
10000,15,2,10,78,0.0078,0.004542,29988
10000,15,3,10,69,0.0069,0.004041,29988
10000,15,4,10,64,0.0064,0.003292,29988
10000,15,5,10,67,0.0067,0.003166,29988
10000,15,6,10,75,0.0075,0.003292,29988
10000,15,7,10,62,0.0062,0.003417,29988
10000,15,8,10,70,0.007,0.003666,29988
10000,15,9,10,69,0.0069,0.003333,29988
10000,16,0,10,68,0.0068,0.006334,29992
10000,16,1,10,77,0.0077,0.004833,29992
10000,16,2,10,78,0.0078,0.004583,29992
10000,16,3,10,68,0.0068,0.003667,29992
10000,16,4,10,74,0.0074,0.003583,29992
10000,16,5,10,62,0.0062,0.003333,29992
10000,16,6,10,68,0.0068,0.00325,29992
10000,16,7,10,66,0.0066,0.003417,29992
10000,16,8,10,71,0.0071,0.0035,29992
