n,seed,context,policy,action,utility,deadline_miss,infeasible
12,9,8,P1,local-sim,-0.1027434808332269,0,0
12,9,8,utility-only,local-sim,-0.1027434808332269,0,0
12,9,8,logged-IPW,local-sim,-0.1027434808332269,0,0
12,9,8,LinUCB,local-sim,-0.1027434808332269,0,0
12,9,8,Pareto,local-sim,-0.1027434808332269,0,0
12,9,8,oracle,local-sim,-0.1027434808332269,0,0
12,9,8,train-selected fixed,local-sim,-0.1027434808332269,0,0
12,9,8,always invoke-QPU,invoke-QPU,-0.1300388330528936,0,0
12,9,8,always remote-sim,remote-sim,-0.2062950617515354,0,0
12,9,8,always local-sim,local-sim,-0.1027434808332269,0,0
12,9,8,always fallback,fallback,-0.20016594920546518,0,0
12,9,9,P1,local-sim,-0.11130094399397353,0,0
12,9,9,utility-only,local-sim,-0.11130094399397353,0,0
12,9,9,logged-IPW,local-sim,-0.11130094399397353,0,0
12,9,9,LinUCB,local-sim,-0.11130094399397353,0,0
12,9,9,Pareto,local-sim,-0.11130094399397353,0,0
12,9,9,oracle,local-sim,-0.11130094399397353,0,0
12,9,9,train-selected fixed,local-sim,-0.11130094399397353,0,0
12,9,9,always invoke-QPU,invoke-QPU,-0.20243131531138692,0,0
12,9,9,always remote-sim,remote-sim,-0.1788863960343332,0,0
12,9,9,always local-sim,local-sim,-0.11130094399397353,0,0
12,9,9,always fallback,fallback,-0.22012453336706775,0,0
12,9,10,P1,local-sim,-0.10405674927880171,0,0
12,9,10,utility-only,local-sim,-0.10405674927880171,0,0
12,9,10,logged-IPW,local-sim,-0.10405674927880171,0,0
